Index,X,Y,Z,Modulus,final 
14,499,423,0.00161589,654.1635881,142
15,500,428,0.001521725,658.167152,146
16,499,433,-0.000265516,660.6738984,149
17,499,439,0.002979362,664.6216969,153
18,501,443,0.016818205,668.7675231,157
32,451,455,0.038612671,640.6449875,129
43,436,406,0.030854123,595.7616973,84
83,481,441,0.017096525,652.5657055,141
84,479,437,0.003135511,648.3903145,136
85,479,431,0.000277784,644.3616997,132
86,480,426,0.002278452,641.7756617,130
87,482,421,0.002496886,639.9726557,128
88,454,410,0.013720782,611.7319674,100
89,452,412,0.01302292,611.594637,100
90,449,415,0.012474484,611.4131173,99
91,447,418,0.015721468,611.991013,100
106,447,420,0.026301373,613.3587857,101
135,395,418,0.076471098,575.107816,63
136,396,431,0.103472471,585.3007774,73
140,448,468,0.049699925,647.8641833,136
148,471,486,0.059259031,676.7843083,165
149,432,465,0.078455396,634.703868,123
150,415,451,0.089700654,612.8833494,101
152,498,489,0.057823379,697.9434074,186
169,413,437,0.070717134,601.2803007,89
170,430,452,0.061542589,623.8621643,112
171,471,479,0.039945915,671.77526,160
172,380,409,0.119925849,558.2839779,46
175,499,481,0.039086327,693.0815248,181
176,450,477,0.066338569,655.7659644,144
178,467,417,0.007195301,626.0814643,114
179,464,420,0.006682513,625.8562135,114
180,462,425,0.005762969,627.7491537,116
181,461,430,0.00890854,630.4133565,118
182,462,432,0.02040319,632.5092885,121
194,456,443,0.030039141,635.7554561,124
199,500,469,0.028133595,685.5370158,174
200,500,455,0.022988124,676.0362416,164
201,478,453,0.024685482,658.5537184,147
202,426,412,0.038753204,592.6381695,81
204,440,429,0.035904493,614.5250198,103
208,474,467,0.02966864,665.4058912,153
210,416,422,0.052561291,592.5706709,81
211,433,439,0.048453733,616.6117093,105
262,546,455,0.044471264,710.7327205,199
273,563,407,0.038887881,694.7071325,183
313,519,441,0.019114992,681.0594688,169
314,520,437,0.005426052,679.2414887,167
315,519,431,0.002693265,674.6273045,163
316,519,425,0.004633812,670.8099582,159
317,517,420,0.004749951,666.0998424,154
318,544,408,0.018990831,680,168
319,547,409,0.018333955,683.0007321,171
320,550,412,0.017941216,687.2001164,175
321,551,415,0.021515148,689.8014207,178
335,552,420,0.03297108,693.6166088,182
364,599,418,0.08961276,730.4279567,218
365,595,431,0.116742946,734.7012998,223
369,548,468,0.055986844,720.6441563,209
377,524,486,0.062742084,714.6831466,203
378,561,464,0.086998709,728.0226645,216
379,576,450,0.100478247,730.9418582,219
394,581,437,0.081453986,727.0006878,215
395,565,452,0.070002317,723.5530388,212
396,525,479,0.04330672,710.6799561,199
397,609,410,0.135693103,734.1532538,222
400,544,477,0.07261584,723.5088113,212
402,532,415,0.011210204,674.721424,163
403,534,418,0.010812804,678.1445274,166
404,536,423,0.010061898,682.8067076,171
405,537,428,0.013317727,686.6971676,175
406,538,433,0.025297804,690.6033594,179
418,542,443,0.035243917,700.0092857,188
421,522,453,0.027080724,691.1533838,179
422,572,412,0.047908153,704.9312023,193
424,558,429,0.043112725,703.8501261,192
428,525,467,0.032772753,702.6478492,191
430,580,423,0.062903315,717.8641933,206
431,563,439,0.056389716,713.9257664,202
